timestamp,progressStatus,recordedAtTime,directionRef,journeyPatternRef,bearing,progressRate,vehicleRef,longitude,latitude
1580210521,layover,2020-01-28T06:22:01-05:00,1,MTA_B670134,280.4507,noProgress,MTA NYCT_810,-73.979019,40.639083
1580210521,,2020-01-28T06:22:05-05:00,0,MTA_B670127,49.853313,normalProgress,MTA NYCT_367,-73.982233,40.666107
1580210521,,2020-01-28T06:22:12-05:00,1,MTA_B670134,291.92178,normalProgress,MTA NYCT_417,-73.967001,40.706251
1580210521,,2020-01-28T06:21:58-05:00,1,MTA_B670134,304.5085,normalProgress,MTA NYCT_369,-73.979525,40.686914
1580210581,layover,2020-01-28T06:23:04-05:00,0,MTA_B670127,10.333877,noProgress,MTA NYCT_418,-73.967525,40.70695
1580210581,,2020-01-28T06:22:53-05:00,0,MTA_B670127,125.89896,normalProgress,MTA NYCT_365,-73.976652,40.682946
1580210581,,2020-01-28T06:23:06-05:00,0,MTA_B670127,50.082508,normalProgress,MTA NYCT_367,-73.980157,40.668578
1580210581,,2020-01-28T06:22:59-05:00,1,MTA_B670134,305.96826,normalProgress,MTA NYCT_369,-73.977788,40.684499
1580210581,,2020-01-28T06:23:06-05:00,0,MTA_B670127,358.5253,normalProgress,MTA NYCT_466,-73.979424,40.699665
1580210581,,2020-01-28T06:23:13-05:00,1,MTA_B670134,270.0,normalProgress,MTA NYCT_417,-73.967339,40.703445
1580210641,layover,2020-01-28T06:24:04-05:00,0,MTA_B670127,10.333877,noProgress,MTA NYCT_418,-73.967525,40.70695
1580210641,,2020-01-28T06:23:54-05:00,0,MTA_B670127,126.025215,normalProgress,MTA NYCT_365,-73.977173,40.683664
1580210641,,2020-01-28T06:24:04-05:00,0,MTA_B670127,100.850105,normalProgress,MTA NYCT_810,-73.978694,40.639096
1580210641,,2020-01-28T06:24:07-05:00,0,MTA_B670127,49.94548,normalProgress,MTA NYCT_367,-73.979687,40.66914
1580210641,,2020-01-28T06:24:01-05:00,1,MTA_B670134,305.96826,normalProgress,MTA NYCT_369,-73.977682,40.684354
1580210641,,2020-01-28T06:24:14-05:00,1,MTA_B670134,178.2643,normalProgress,MTA NYCT_417,-73.969095,40.699485
1580210641,,2020-01-28T06:24:08-05:00,0,MTA_B670127,317.93567,normalProgress,MTA NYCT_466,-73.976743,40.69858
1580210701,layover,2020-01-28T06:25:05-05:00,0,MTA_B670127,10.333877,noProgress,MTA NYCT_418,-73.967525,40.70695
1580210701,,2020-01-28T06:24:55-05:00,0,MTA_B670127,126.025215,normalProgress,MTA NYCT_365,-73.977756,40.684465
1580210701,,2020-01-28T06:25:02-05:00,1,MTA_B670134,306.322,normalProgress,MTA NYCT_369,-73.975512,40.681379
1580210701,,2020-01-28T06:25:07-05:00,0,MTA_B670127,102.070274,normalProgress,MTA NYCT_810,-73.97929,40.642124
1580210701,,2020-01-28T06:25:08-05:00,0,MTA_B670127,16.699244,normalProgress,MTA NYCT_466,-73.973696,40.700395
1580210701,,2020-01-28T06:25:09-05:00,0,MTA_B670127,50.175396,normalProgress,MTA NYCT_367,-73.978201,40.670908
1580210701,,2020-01-28T06:25:15-05:00,1,MTA_B670134,138.81407,normalProgress,MTA NYCT_417,-73.973353,40.700238
1580210761,layover,2020-01-28T06:26:06-05:00,0,MTA_B670127,10.333877,noProgress,MTA NYCT_418,-73.967525,40.70695
1580210761,,2020-01-28T06:25:56-05:00,0,MTA_B670127,126.025215,normalProgress,MTA NYCT_365,-73.977756,40.684465
1580210761,,2020-01-28T06:26:08-05:00,0,MTA_B670127,102.070274,normalProgress,MTA NYCT_810,-73.979488,40.643052
1580210761,,2020-01-28T06:26:03-05:00,1,MTA_B670134,306.322,normalProgress,MTA NYCT_369,-73.975308,40.681101
1580210761,,2020-01-28T06:26:10-05:00,0,MTA_B670127,54.532166,normalProgress,MTA NYCT_367,-73.976457,40.673075
1580210761,,2020-01-28T06:26:17-05:00,1,MTA_B670134,212.00539,normalProgress,MTA NYCT_417,-73.97621,40.698831
1580210761,,2020-01-28T06:26:09-05:00,0,MTA_B670127,357.70682,normalProgress,MTA NYCT_466,-73.971507,40.699576
1580210821,,2020-01-28T06:27:11-05:00,0,MTA_B670127,55.97672,normalProgress,MTA NYCT_367,-73.974659,40.675638
1580210821,layover,2020-01-28T06:27:07-05:00,0,MTA_B670127,10.333877,noProgress,MTA NYCT_418,-73.967525,40.70695
1580210821,,2020-01-28T06:27:08-05:00,0,MTA_B670127,100.34591,normalProgress,MTA NYCT_810,-73.979911,40.64531
1580210821,,2020-01-28T06:26:57-05:00,0,MTA_B670127,159.53773,normalProgress,MTA NYCT_365,-73.980244,40.687508
1580210821,,2020-01-28T06:27:18-05:00,1,MTA_B670134,178.5253,normalProgress,MTA NYCT_417,-73.97976,40.699673
1580210821,,2020-01-28T06:27:05-05:00,1,MTA_B670134,306.6002,normalProgress,MTA NYCT_369,-73.973905,40.679159
1580210821,,2020-01-28T06:27:10-05:00,0,MTA_B670127,60.945396,normalProgress,MTA NYCT_466,-73.968562,40.700131
1580210881,layover,2020-01-28T06:28:08-05:00,0,MTA_B670127,10.333877,noProgress,MTA NYCT_418,-73.967525,40.70695
1580210881,,2020-01-28T06:28:09-05:00,0,MTA_B670127,101.06875,normalProgress,MTA NYCT_810,-73.980223,40.646916
1580210881,,2020-01-28T06:28:07-05:00,1,MTA_B670134,305.7067,normalProgress,MTA NYCT_369,-73.97304,40.677974
1580210881,,2020-01-28T06:28:12-05:00,0,MTA_B670127,91.33222,normalProgress,MTA NYCT_466,-73.967341,40.703558
1580210881,,2020-01-28T06:28:19-05:00,1,MTA_B670134,177.8789,normalProgress,MTA NYCT_417,-73.982702,40.699753
1580210881,,2020-01-28T06:27:58-05:00,0,MTA_B670127,158.9625,normalProgress,MTA NYCT_365,-73.982366,40.688314
1580210881,,2020-01-28T06:28:12-05:00,0,MTA_B670127,56.16121,normalProgress,MTA NYCT_367,-73.973478,40.677365
1580210942,layover,2020-01-28T06:29:10-05:00,0,MTA_B670127,10.333877,noProgress,MTA NYCT_418,-73.967525,40.70695
1580210942,,2020-01-28T06:29:09-05:00,0,MTA_B670127,100.7429,normalProgress,MTA NYCT_810,-73.98038,40.647737
1580210942,,2020-01-28T06:28:59-05:00,0,MTA_B670127,158.6232,normalProgress,MTA NYCT_365,-73.985705,40.689619
1580210942,,2020-01-28T06:29:08-05:00,1,MTA_B670134,235.53593,normalProgress,MTA NYCT_369,-73.974497,40.675872
1580210942,,2020-01-28T06:29:13-05:00,0,MTA_B670127,125.70669,normalProgress,MTA NYCT_367,-73.973253,40.67827
1580210942,,2020-01-28T06:29:13-05:00,0,MTA_B670127,112.126335,normalProgress,MTA NYCT_466,-73.967652,40.705047
1580210942,,2020-01-28T06:29:20-05:00,1,MTA_B670134,87.089165,normalProgress,MTA NYCT_417,-73.982869,40.700975
1580211001,,2020-01-28T06:29:59-05:00,0,MTA_B670127,160.61548,normalProgress,MTA NYCT_365,-73.987727,40.690425
1580211001,layover,2020-01-28T06:30:11-05:00,1,MTA_B670134,10.619656,noProgress,MTA NYCT_418,-73.967411,40.706971
1580211001,,2020-01-28T06:30:14-05:00,0,MTA_B670127,10.333877,normalProgress,MTA NYCT_466,-73.967748,40.70691
1580211001,,2020-01-28T06:30:10-05:00,1,MTA_B670134,236.62125,normalProgress,MTA NYCT_369,-73.975236,40.674779
1580211001,,2020-01-28T06:30:21-05:00,1,MTA_B670134,177.9854,normalProgress,MTA NYCT_417,-73.985984,40.701485
1580211001,,2020-01-28T06:30:10-05:00,0,MTA_B670127,101.18268,normalProgress,MTA NYCT_810,-73.980957,40.650748
1580211001,,2020-01-28T06:30:14-05:00,0,MTA_B670127,126.203995,normalProgress,MTA NYCT_367,-73.974527,40.680022
1580211062,layover,2020-01-28T06:31:12-05:00,1,MTA_B670134,10.619656,noProgress,MTA NYCT_418,-73.967411,40.706971
1580211062,,2020-01-28T06:31:15-05:00,0,MTA_B670127,10.333877,normalProgress,MTA NYCT_466,-73.967748,40.70691
1580211062,,2020-01-28T06:31:22-05:00,1,MTA_B670134,266.56638,normalProgress,MTA NYCT_417,-73.987728,40.701017
1580211062,,2020-01-28T06:31:11-05:00,0,MTA_B670127,100.89756,normalProgress,MTA NYCT_810,-73.981285,40.652418
1580211062,,2020-01-28T06:31:00-05:00,0,MTA_B670127,59.574215,normalProgress,MTA NYCT_365,-73.987477,40.69118
1580211062,,2020-01-28T06:31:11-05:00,1,MTA_B670134,232.57945,normalProgress,MTA NYCT_369,-73.976233,40.67339
1580211062,,2020-01-28T06:31:15-05:00,0,MTA_B670127,125.89896,normalProgress,MTA NYCT_367,-73.975625,40.681527
1580211121,layover,2020-01-28T06:32:12-05:00,0,MTA_B670127,10.333877,noProgress,MTA NYCT_418,-73.967525,40.70695
1580211121,,2020-01-28T06:31:53-05:00,1,MTA_B670134,270.0,normalProgress,MTA NYCT_417,-73.987759,40.700468
1580211121,,2020-01-28T06:32:20-05:00,0,MTA_B670127,125.89896,normalProgress,MTA NYCT_367,-73.976671,40.682973
1580211121,layover,2020-01-28T06:32:17-05:00,0,MTA_B670127,10.333877,noProgress,MTA NYCT_466,-73.967748,40.70691
1580211121,,2020-01-28T06:32:01-05:00,0,MTA_B670127,87.06432,normalProgress,MTA NYCT_365,-73.987301,40.691976
1580211121,,2020-01-28T06:32:12-05:00,0,MTA_B670127,148.98294,normalProgress,MTA NYCT_810,-73.982948,40.655934
1580211121,,2020-01-28T06:32:12-05:00,1,MTA_B670134,230.4176,normalProgress,MTA NYCT_369,-73.977412,40.671864
1580211181,layover,2020-01-28T06:33:14-05:00,1,MTA_B670134,10.619656,noProgress,MTA NYCT_418,-73.967411,40.706971
1580211181,,2020-01-28T06:32:54-05:00,1,MTA_B670134,270.0,normalProgress,MTA NYCT_417,-73.987759,40.699997
1580211181,,2020-01-28T06:33:22-05:00,0,MTA_B670127,126.025215,normalProgress,MTA NYCT_367,-73.977833,40.684571
1580211181,layover,2020-01-28T06:33:18-05:00,0,MTA_B670127,10.333877,noProgress,MTA NYCT_466,-73.967748,40.70691
1580211181,,2020-01-28T06:33:13-05:00,0,MTA_B670127,149.13165,normalProgress,MTA NYCT_810,-73.986219,40.657892
1580211181,,2020-01-28T06:33:03-05:00,0,MTA_B670127,86.07657,normalProgress,MTA NYCT_365,-73.987287,40.69224
